id,phase,intel,speaker,list_sort_c,flanker_c,card_sort_c,vocab_c,pattern_c
1,posttest,82.77310924,ALSM1,,86,107,107,118
1,pretest,78.48101266,ALSM1,,86,107,107,118
2,posttest,85.29411765,ALSM1,108,77,109,109,109
2,pretest,81.01265823,ALSM1,108,77,109,109,109
3,posttest,84.45378151,ALSM1,103,94,87,87,71
3,pretest,82.27848101,ALSM1,103,94,87,87,71
5,posttest,82.35294118,ALSM1,112,108,118,118,129
5,pretest,69.62025316,ALSM1,112,108,118,118,129
7,posttest,83.61344538,ALSM1,124,94,121,121,93
7,pretest,74.6835443,ALSM1,124,94,121,121,93
8,posttest,73.52941176,ALSM1,102,92,96,96,136
8,pretest,73.41772152,ALSM1,102,92,96,96,136
9,posttest,84.87394958,ALSM1,91,97,118,118,130
9,pretest,72.15189873,ALSM1,91,97,118,118,130
12,posttest,86.97478992,ALSM1,96,131,126,126,146
12,pretest,77.21518987,ALSM1,96,131,126,126,146
13,posttest,85.29411765,ALSM1,97,92,73,73,113
13,pretest,75.94936709,ALSM1,97,92,73,73,113
14,posttest,87.81512605,ALSM1,96,85,112,112,112
14,pretest,82.27848101,ALSM1,96,85,112,112,112
16,posttest,86.97478992,ALSM1,123,92,101,101,135
16,pretest,86.07594937,ALSM1,123,92,101,101,135
17,posttest,85.71428571,ALSM1,102,86,118,118,130
17,pretest,78.48101266,ALSM1,102,86,118,118,130
18,posttest,82.77310924,ALSM1,128,80,89,89,54
18,pretest,83.5443038,ALSM1,128,80,89,89,54
19,posttest,84.03361345,ALSM1,112,73,101,101,72
19,pretest,70.88607595,ALSM1,112,73,101,101,72
41,posttest,37.0212766,AM1,96,97,107,85,101
41,pretest,27.84810127,AM1,96,97,107,85,101
42,posttest,36.17021277,AM1,102,91,117,86,101
42,pretest,21.51898734,AM1,102,91,117,86,101
44,posttest,47.23404255,AM1,107,108,107,114,135
44,pretest,34.17721519,AM1,107,108,107,114,135
45,posttest,42.12765957,AM1,112,91,95,108,129
45,pretest,30.37974684,AM1,112,91,95,108,129
47,posttest,43.40425532,AM1,106,90,102,103,121
47,pretest,24.05063291,AM1,106,90,102,103,121
48,posttest,59.57446809,AM1,91,86,107,103,96
48,pretest,48.10126582,AM1,91,86,107,103,96
49,posttest,48.08510638,AM1,102,103,107,102,130
49,pretest,27.84810127,AM1,102,103,107,102,130
50,posttest,47.23404255,AM1,116,113,107,138,114
50,pretest,40.50632911,AM1,116,113,107,138,114
51,posttest,52.34042553,AM1,113,114,91,118,125
51,pretest,37.97468354,AM1,113,114,91,118,125
53,posttest,52.76595745,AM1,107,91,95,97,112
53,pretest,35.44303797,AM1,107,91,95,97,112
55,posttest,54.04255319,AM1,123,96,106,115,90
55,pretest,41.7721519,AM1,123,96,106,115,90
56,posttest,42.12765957,AM1,96,91,124,108,135
56,pretest,24.05063291,AM1,96,91,124,108,135
57,posttest,56.59574468,AM1,92,109,125,118,137
57,pretest,37.97468354,AM1,92,109,125,118,137
58,posttest,54.89361702,AM1,81,114,131,95,80
58,pretest,27.84810127,AM1,81,114,131,95,80
59,posttest,54.04255319,AM1,108,100,93,121,122
59,pretest,41.7721519,AM1,108,100,93,121,122
60,posttest,51.91489362,AM1,112,81,118,108,135
60,pretest,40.50632911,AM1,112,81,118,108,135
61,posttest,64.28571429,PDM10,,,,,
61,pretest,54.43037975,PDM10,,,,,
62,posttest,58.82352941,PDM10,96,113,117,103,134
62,pretest,44.30379747,PDM10,96,113,117,103,134
63,posttest,58.82352941,PDM10,117,64,95,103,84
63,pretest,53.16455696,PDM10,117,64,95,103,84
65,posttest,73.52941176,PDM10,116,92,115,123,138
65,pretest,59.49367089,PDM10,116,92,115,123,138
66,posttest,63.86554622,PDM10,112,70,90,108,69
66,pretest,55.69620253,PDM10,112,70,90,108,69
67,posttest,42.43697479,PDM10,91,97,107,97,118
67,pretest,48.10126582,PDM10,91,97,107,97,118
68,posttest,60.50420168,PDM10,112,129,117,133,123
68,pretest,54.43037975,PDM10,112,129,117,133,123
69,posttest,51.2605042,PDM10,97,94,115,122,138
69,pretest,37.97468354,PDM10,97,94,115,122,138
70,posttest,69.32773109,PDM10,102,86,107,126,129
70,pretest,65.82278481,PDM10,102,86,107,126,129
71,posttest,61.76470588,PDM10,86,108,124,103,107
71,pretest,54.43037975,PDM10,86,108,124,103,107
72,posttest,57.98319328,PDM10,107,97,107,119,119
72,pretest,49.36708861,PDM10,107,97,107,119,119
73,posttest,55.88235294,PDM10,107,108,124,114,96
73,pretest,48.10126582,PDM10,107,108,124,114,96
74,posttest,53.78151261,PDM10,112,108,118,103,96
74,pretest,58.2278481,PDM10,112,108,118,103,96
75,posttest,67.64705882,PDM10,107,86,96,108,135
75,pretest,60.75949367,PDM10,107,86,96,108,135
76,posttest,46.21848739,PDM10,86,59,84,108,91
76,pretest,41.7721519,PDM10,86,59,84,108,91
78,posttest,54.62184874,PDM10,96,75,95,114,79
78,pretest,49.36708861,PDM10,96,75,95,114,79
79,posttest,44.95798319,PDM10,102,75,100,103,101
79,pretest,44.30379747,PDM10,102,75,100,103,101
80,posttest,38.65546218,PDM10,102,85,89,109,101
80,pretest,50.63291139,PDM10,102,85,89,109,101
81,posttest,47.65957447,AM1,96,80,78,103,85
81,pretest,37.97468354,AM1,96,80,78,103,85
82,posttest,37.0212766,AM1,97,103,124,96,135
82,pretest,35.44303797,AM1,97,103,124,96,135
83,posttest,41.27659574,AM1,96,91,84,108,118
83,pretest,26.58227848,AM1,96,91,84,108,118
84,posttest,40.42553191,AM1,91,86,130,96,124
84,pretest,31.64556962,AM1,91,86,130,96,124
85,posttest,46.80851064,AM1,102,70,107,90,124
85,pretest,34.17721519,AM1,102,70,107,90,124
87,posttest,42.9787234,AM1,97,86,90,90,119
87,pretest,26.58227848,AM1,97,86,90,90,119
88,posttest,51.4893617,AM1,118,76,96,124,97
88,pretest,39.24050633,AM1,118,76,96,124,97
93,posttest,40,AM1,91,97,130,96,119
93,pretest,27.84810127,AM1,91,97,130,96,119
101,posttest,56.59574468,AM1,109,107,112,120,124
101,pretest,44.30379747,AM1,109,107,112,120,124
102,posttest,51.06382979,AM1,97,87,91,100,97
102,pretest,41.7721519,AM1,97,87,91,100,97
103,posttest,48.08510638,AM1,92,77,97,105,126
103,pretest,24.05063291,AM1,92,77,97,105,126
104,posttest,55.74468085,AM1,108,99,115,94,137
104,pretest,41.7721519,AM1,108,99,115,94,137
105,posttest,51.91489362,AM1,108,88,103,111,120
105,pretest,35.44303797,AM1,108,88,103,111,120
106,posttest,43.40425532,AM1,109,73,100,120,94
106,pretest,21.51898734,AM1,109,73,100,120,94
107,posttest,50.63829787,AM1,113,104,120,117,120
107,pretest,41.7721519,AM1,113,104,120,117,120
108,posttest,54.46808511,AM1,112,103,113,125,119
108,pretest,35.44303797,AM1,112,103,113,125,119
109,posttest,57.44680851,AM1,96,85,100,98,95
109,pretest,37.97468354,AM1,96,85,100,98,95
110,posttest,61.27659574,AM1,86,119,124,126,129
110,pretest,35.44303797,AM1,86,119,124,126,129
111,posttest,55.74468085,AM1,123,80,89,108,135
111,pretest,49.36708861,AM1,123,80,89,108,135
112,posttest,53.19148936,AM1,103,129,135,120,146
112,pretest,37.97468354,AM1,103,129,135,120,146
113,posttest,54.46808511,AM1,91,64,90,102,102
113,pretest,43.03797468,AM1,91,64,90,102,102
114,posttest,43.40425532,AM1,91,81,96,90,91
114,pretest,29.11392405,AM1,91,81,96,90,91
115,posttest,48.08510638,AM1,96,97,107,126,107
115,pretest,26.58227848,AM1,96,97,107,126,107
117,posttest,55.74468085,AM1,112,86,107,103,135
117,pretest,31.64556962,AM1,112,86,107,103,135
118,posttest,44.68085106,AM1,123,98,113,101,136
118,pretest,44.30379747,AM1,123,98,113,101,136
119,posttest,62.9787234,AM1,107,96,128,116,95
119,pretest,46.83544304,AM1,107,96,128,116,95
120,posttest,58.72340426,AM1,101,117,122,93,133
120,pretest,43.03797468,AM1,101,117,122,93,133
121,posttest,45.79831933,PDM10,75,64,73,79,107
121,pretest,49.36708861,PDM10,75,64,73,79,107
122,posttest,58.40336134,PDM10,107,108,124,113,135
122,pretest,51.89873418,PDM10,107,108,124,113,135
123,posttest,58.82352941,PDM10,97,75,101,102,135
123,pretest,45.56962025,PDM10,97,75,101,102,135
125,posttest,46.21848739,PDM10,123,102,118,91,118
125,pretest,44.30379747,PDM10,123,102,118,91,118
127,posttest,42.43697479,PDM10,107,64,101,84,96
127,pretest,40.50632911,PDM10,107,64,101,84,96
128,posttest,64.28571429,PDM10,96,119,124,114,135
128,pretest,59.49367089,PDM10,96,119,124,114,135
129,posttest,57.98319328,PDM10,112,97,113,108,130
129,pretest,46.83544304,PDM10,112,97,113,108,130
130,posttest,53.36134454,PDM10,133,90,111,122,133
130,pretest,44.30379747,PDM10,133,90,111,122,133
141,posttest,56.72268908,PDM10,81,82,68,95,109
141,pretest,48.10126582,PDM10,81,82,68,95,109
142,posttest,63.86554622,PDM10,97,92,107,119,107
142,pretest,59.49367089,PDM10,97,92,107,119,107
143,posttest,68.06722689,PDM10,103,72,81,111,110
143,pretest,54.43037975,PDM10,103,72,81,111,110
144,posttest,61.76470588,PDM10,97,71,92,111,87
144,pretest,53.16455696,PDM10,97,71,92,111,87
146,posttest,63.44537815,PDM10,102,103,90,119,107
146,pretest,62.02531646,PDM10,102,103,90,119,107
147,posttest,64.28571429,PDM10,112,125,118,125,119
147,pretest,59.49367089,PDM10,112,125,118,125,119
148,posttest,56.30252101,PDM10,109,96,118,114,136
148,pretest,62.02531646,PDM10,109,96,118,114,136
149,posttest,63.44537815,PDM10,117,113,89,121,117
149,pretest,54.43037975,PDM10,117,113,89,121,117
150,posttest,61.34453782,PDM10,102,91,112,98,134
150,pretest,54.43037975,PDM10,102,91,112,98,134
151,posttest,65.96638655,PDM10,107,102,123,115,134
151,pretest,63.29113924,PDM10,107,102,123,115,134
152,posttest,63.02521008,PDM10,114,106,134,121,128
152,pretest,51.89873418,PDM10,114,106,134,121,128
153,posttest,51.68067227,PDM10,75,65,73,95,91
153,pretest,41.7721519,PDM10,75,65,73,95,91
154,posttest,65.54621849,PDM10,112,102,129,115,101
154,pretest,58.2278481,PDM10,112,102,129,115,101
155,posttest,63.86554622,PDM10,86,86,78,97,79
155,pretest,56.96202532,PDM10,86,86,78,97,79
156,posttest,51.68067227,PDM10,118,81,96,124,136
156,pretest,60.75949367,PDM10,118,81,96,124,136
157,posttest,53.78151261,PDM10,85,63,77,93,100
157,pretest,59.49367089,PDM10,85,63,77,93,100
158,posttest,64.28571429,PDM10,97,86,101,131,107
158,pretest,60.75949367,PDM10,97,86,101,131,107
159,posttest,50.84033613,PDM10,96,101,100,99,117
159,pretest,48.10126582,PDM10,96,101,100,99,117
160,posttest,60.92436975,PDM10,123,63,71,128,106
160,pretest,64.55696203,PDM10,123,63,71,128,106
162,posttest,60,AM1,107,85,111,122,117
162,pretest,40.50632911,AM1,107,85,111,122,117
163,posttest,51.91489362,AM1,101,80,105,99,89
163,pretest,30.37974684,AM1,101,80,105,99,89
164,posttest,58.29787234,AM1,112,92,79,119,54
164,pretest,32.91139241,AM1,112,92,79,119,54
165,posttest,29.36170213,AM1,91,69,83,99,84
165,pretest,16.4556962,AM1,91,69,83,99,84
166,posttest,59.14893617,AM1,117,80,88,116,106
166,pretest,41.7721519,AM1,117,80,88,116,106
167,posttest,48.08510638,AM1,107,108,113,125,107
167,pretest,40.50632911,AM1,107,108,113,125,107
168,posttest,48.93617021,AM1,91,75,112,108,135
168,pretest,30.37974684,AM1,91,75,112,108,135
169,posttest,56.17021277,AM1,118,113,118,120,124
169,pretest,44.30379747,AM1,118,113,118,120,124
170,posttest,54.46808511,AM1,97,93,115,117,115
170,pretest,43.03797468,AM1,97,93,115,117,115
171,posttest,46.80851064,AM1,102,87,103,89,86
171,pretest,45.56962025,AM1,102,87,103,89,86
172,posttest,50.63829787,AM1,123,131,131,118,142
172,pretest,27.84810127,AM1,123,131,131,118,142
182,posttest,57.56302521,PDM10,96,80,94,104,133
182,pretest,48.10126582,PDM10,96,80,94,104,133
183,posttest,49.15966387,PDM10,96,101,122,110,133
183,pretest,53.16455696,PDM10,96,101,122,110,133
184,posttest,44.11764706,PDM10,102,92,90,108,119
184,pretest,40.50632911,PDM10,102,92,90,108,119
185,posttest,65.54621849,PDM10,96,85,123,127,123
185,pretest,65.82278481,PDM10,96,85,123,127,123
186,posttest,58.40336134,PDM10,91,103,118,125,124
186,pretest,59.49367089,PDM10,91,103,118,125,124
187,posttest,61.34453782,PDM10,86,70,101,102,130
187,pretest,53.16455696,PDM10,86,70,101,102,130
188,posttest,60.50420168,PDM10,107,92,118,90,102
188,pretest,50.63291139,PDM10,107,92,118,90,102
189,posttest,65.96638655,PDM10,124,87,114,123,81
189,pretest,48.10126582,PDM10,124,87,114,123,81
220,posttest,86.97478992,ALSM1,107,96,112,112,123
220,pretest,79.74683544,ALSM1,107,96,112,112,123
221,posttest,80.67226891,ALSM1,107,80,78,78,68
221,pretest,67.08860759,ALSM1,107,80,78,78,68
222,posttest,82.77310924,ALSM1,107,74,83,83,117
222,pretest,74.6835443,ALSM1,107,74,83,83,117
223,posttest,88.23529412,ALSM1,123,96,105,105,117
223,pretest,78.48101266,ALSM1,123,96,105,105,117
224,posttest,82.77310924,ALSM1,91,87,102,102,119
224,pretest,73.41772152,ALSM1,91,87,102,102,119
225,posttest,83.61344538,ALSM1,91,96,95,95,101
225,pretest,81.01265823,ALSM1,91,96,95,95,101
226,posttest,81.51260504,ALSM1,107,114,84,84,80
226,pretest,75.94936709,ALSM1,107,114,84,84,80
227,posttest,85.71428571,ALSM1,96,97,118,118,118
