id,speaker,list_sort_c,flanker_c,card_sort_c,vocab_c,pattern_c,posttest,pretest
1,ALSM1,,86,107,107,118,82.77310924,78.48101266
2,ALSM1,108,77,109,109,109,85.29411765,81.01265823
3,ALSM1,103,94,87,87,71,84.45378151,82.27848101
5,ALSM1,112,108,118,118,129,82.35294118,69.62025316
7,ALSM1,124,94,121,121,93,83.61344538,74.6835443
8,ALSM1,102,92,96,96,136,73.52941176,73.41772152
9,ALSM1,91,97,118,118,130,84.87394958,72.15189873
12,ALSM1,96,131,126,126,146,86.97478992,77.21518987
13,ALSM1,97,92,73,73,113,85.29411765,75.94936709
14,ALSM1,96,85,112,112,112,87.81512605,82.27848101
16,ALSM1,123,92,101,101,135,86.97478992,86.07594937
17,ALSM1,102,86,118,118,130,85.71428571,78.48101266
18,ALSM1,128,80,89,89,54,82.77310924,83.5443038
19,ALSM1,112,73,101,101,72,84.03361345,70.88607595
41,AM1,96,97,107,85,101,37.0212766,27.84810127
42,AM1,102,91,117,86,101,36.17021277,21.51898734
44,AM1,107,108,107,114,135,47.23404255,34.17721519
45,AM1,112,91,95,108,129,42.12765957,30.37974684
47,AM1,106,90,102,103,121,43.40425532,24.05063291
48,AM1,91,86,107,103,96,59.57446809,48.10126582
49,AM1,102,103,107,102,130,48.08510638,27.84810127
50,AM1,116,113,107,138,114,47.23404255,40.50632911
51,AM1,113,114,91,118,125,52.34042553,37.97468354
53,AM1,107,91,95,97,112,52.76595745,35.44303797
55,AM1,123,96,106,115,90,54.04255319,41.7721519
56,AM1,96,91,124,108,135,42.12765957,24.05063291
57,AM1,92,109,125,118,137,56.59574468,37.97468354
58,AM1,81,114,131,95,80,54.89361702,27.84810127
59,AM1,108,100,93,121,122,54.04255319,41.7721519
60,AM1,112,81,118,108,135,51.91489362,40.50632911
61,PDM10,,,,,,64.28571429,54.43037975
62,PDM10,96,113,117,103,134,58.82352941,44.30379747
63,PDM10,117,64,95,103,84,58.82352941,53.16455696
65,PDM10,116,92,115,123,138,73.52941176,59.49367089
66,PDM10,112,70,90,108,69,63.86554622,55.69620253
